question,truth
"DUNSTABLE, MASSACHUSETTS - 2000",2829
"MONTAGUE, MICHIGAN - 2000",2407
"WINSTON-SALEM, NORTH CAROLINA - 2000",185776
"ST. MARYS, OHIO - 2000",8342
"EDINBURG, TEXAS - 2000",48465
"SUMMERVILLE, SOUTH CAROLINA - 2000",27752
"BELLINGHAM, WASHINGTON - 2000",67171
"JEFFERSON CITY, MISSOURI - 2000",39636
"RALEIGH, NORTH CAROLINA - 2000",276093
"VIRGINIA BEACH, VIRGINIA - 2000",425257
"MANTECA, CALIFORNIA - 2000",49258
"BOWLING GREEN, KENTUCKY - 2000",49296
"BEVERLY, MASSACHUSETTS - 2000",39862
"SAGINAW, MICHIGAN - 2000",61799
"VALLEY STREAM, NEW YORK - 2000",36368
"WHITE PLAINS, NEW YORK - 2000",53077
"FARGO, NORTH DAKOTA - 2000",90599
"DUNDEE, OREGON - 2000",2598
"FORT MILL, SOUTH CAROLINA - 2000",7587
"ALBION, IDAHO - 2000",262
"SCHAUMBURG, ILLINOIS - 2000",75386
"SAVAGE, MINNESOTA - 2000",21115
"WOODBURY, MINNESOTA - 2000",46463
"MELROSE, MASSACHUSETTS - 2000",27134
"CRAWFORDSVILLE, INDIANA - 2000",15243
"CAMBRIDGE, MASSACHUSETTS - 2000",101355
"WILLIAMSBURG, VIRGINIA - 2000",11998
"VILLA PARK, CALIFORNIA - 2000",5999
"MONTGOMERY, ALABAMA - 2000",201568
"LAKE OSWEGO, OREGON - 2000",35278
"LEWISTON, MAINE - 2000",35690
"NEWARK, NEW JERSEY - 2000",273546
"TERRE HAUTE, INDIANA - 2000",59614
"SALINA, KANSAS - 2000",45679
"LINCOLN PARK, MICHIGAN - 2000",40008
"MASSILLON, OHIO - 2000",31325
"NORMAN, OKLAHOMA - 2000",95694
"MUSKOGEE, OKLAHOMA - 2000",38310
"BROWNSVILLE, TEXAS - 2000",139722
"LEBANON, VIRGINIA - 2000",3273
"RENTON, WASHINGTON - 2000",50052
"MINERVA, OHIO - 2000",3934
"HOWLAND, MAINE - 2000",1362
"MALIN, OREGON - 2000",638
"LINCOLN, NEBRASKA - 2000",225581
"WILMINGTON, DELAWARE - 2000",72664
"JESSUP, PENNSYLVANIA - 2000",4718
"DETROIT, MICHIGAN - 2006",918849
"BARNSTEAD, NEW HAMPSHIRE - 2000",3886
"SPARTA, TENNESSEE - 2000",4599
"BIG STONE GAP, VIRGINIA - 2000",4856
"MERIDIAN, MISSISSIPPI - 2000",39968
"NEW BERLIN, WISCONSIN - 2000",38220
"HERMOSA BEACH, CALIFORNIA - 2000",18566
"DES MOINES, IOWA - 2000",198682
"PORTLAND, OREGON - 2000",529121
"SACRAMENTO, CALIFORNIA - 2000",407018
"TALLAHASSEE, FLORIDA - 2000",150624
"CONCORD, NEW HAMPSHIRE - 2000",40687
"MERCED, CALIFORNIA - 2000",63893
"MILWAUKEE, WISCONSIN - 2006",602782
"CASPER, WYOMING - 2000",49644
"PLEASANTON, CALIFORNIA - 2000",63654
"ANTIOCH, CALIFORNIA - 2000",90532
"OCEANSIDE, CALIFORNIA - 2000",161029
"MODESTO, CALIFORNIA - 2000",188856
"ROSWELL, GEORGIA - 2000",79334
"DEKALB, ILLINOIS - 2000",39018
"COLUMBIA, ILLINOIS - 2000",7922
"JASPER, INDIANA - 2000",12100
"LAFAYETTE, INDIANA - 2000",56397
"LAWRENCE, KANSAS - 2000",80098
"CUMBERLAND, MARYLAND - 2000",21518
"THREE OAKS, MICHIGAN - 2000",1829
"MANCHESTER, NEW HAMPSHIRE - 2000",107006
"PELHAM, NEW HAMPSHIRE - 2000",10914
"HAMPTON FALLS, NEW HAMPSHIRE - 2000",1880
"MILTON, NEW HAMPSHIRE - 2000",3910
"KIRYAS JOEL, NEW YORK - 2000",13138
"WILMINGTON, NORTH CAROLINA - 2000",75838
"STEUBENVILLE, OHIO - 2000",19015
"REEDSPORT, OREGON - 2000",4378
"CULVER, OREGON - 2000",802
"SHANIKO, OREGON - 2000",26
"FOREST GROVE, OREGON - 2000",17708
"KUTZTOWN, PENNSYLVANIA - 2000",5067
"ORANGEBURG, SOUTH CAROLINA - 2000",12765
"KNOXVILLE, TENNESSEE - 2000",173890
"SWEENY, TEXAS - 2000",3624
"ZILLAH, WASHINGTON - 2000",2198
"BRANSON, MISSOURI - 2000",6050
"WILSONVILLE, OREGON - 2000",13991
"GRAND PRAIRIE, TEXAS - 2000",127427
"EAU CLAIRE, WISCONSIN - 2000",61704
"HUNTINGTON, NEW YORK - 2000",195289
"PLATTSBURGH, NEW YORK - 2000",18816
"WATERTOWN, NEW YORK - 2000",26705
"NEWBURGH, NEW YORK - 2000",28259
"MOUNT CARROLL, ILLINOIS - 2000",1832
"POLO, ILLINOIS - 2000",2477
"FORT BRANCH, INDIANA - 2000",2320
"IOWA CITY, IOWA - 2000",62220
"FORT DODGE, IOWA - 2000",25136
"IRVING, TEXAS - 2000",191615
"SHEBOYGAN FALLS, WISCONSIN - 2000",6772
"NORWOOD, KENTUCKY - 2000",395
"BROWNSBURG, INDIANA - 2000",14520
"JOHN DAY, OREGON - 2000",1821
"CALERA, ALABAMA - 2000",3158
"CONVERSE, INDIANA - 2000",1137
"GALLUP, NEW MEXICO - 2000",20209
"CLAIRTON, PENNSYLVANIA - 2000",8491
"ARKADELPHIA, ARKANSAS - 2000",10912
"ONSLOW, IOWA - 2000",223
"WAKEFIELD, KANSAS - 2000",838
"DENTON, KANSAS - 2000",186
"STERLING, KANSAS - 2000",2642
"SALINE, MICHIGAN - 2000",8034
"ROSMAN, NORTH CAROLINA - 2000",490
"SALLISAW, OKLAHOMA - 2000",7989
"PERRYTON, TEXAS - 2000",7774
"MILAN, MICHIGAN - 2000",4775
"PEARLAND, TEXAS - 2000",37640
"CLAREMONT, CALIFORNIA - 2000",33998
"LA MIRADA, CALIFORNIA - 2000",46783
"LANCASTER, CALIFORNIA - 2000",118718
"WINTER PARK, COLORADO - 2000",662
"BARGERSVILLE, INDIANA - 2000",2120
"DARMSTADT, INDIANA - 2000",1313
"BETTENDORF, IOWA - 2000",31275
"SALISBURY, MARYLAND - 2000",23743
"TUPELO, MISSISSIPPI - 2000",34211
"SALISBURY, NEW HAMPSHIRE - 2000",1137
"SEABROOK, NEW HAMPSHIRE - 2000",7934
"EAGLE POINT, OREGON - 2000",4797
"NORTH, SOUTH CAROLINA - 2000",813
"WINSLOW, MAINE - 2000",7743
"GORHAM, NEW HAMPSHIRE - 2000",2895
"SANTA MONICA, CALIFORNIA - 2000",84084
"ANAHEIM, CALIFORNIA - 2000",328014
"OMAHA, NEBRASKA - 2000",390007
"CHERRY HILL, NEW JERSEY - 2000",69965
"PIEDMONT, WEST VIRGINIA - 2000",1014
"VALLEJO, CALIFORNIA - 2000",116760
"ELLSWORTH, WISCONSIN - 2000",2909
"ROGERS, ARKANSAS - 2000",38829
"FAIRFAX, CALIFORNIA - 2000",7319
"GREENFIELD, CALIFORNIA - 2000",12583
"MURRIETA, CALIFORNIA - 2000",44282
"YARMOUTH, MASSACHUSETTS - 2000",24807
"ROWE, MASSACHUSETTS - 2000",351
"ASHBY, MASSACHUSETTS - 2000",2845
"GRANBY, MASSACHUSETTS - 2000",6132
"STOCKHOLM, WISCONSIN - 2000",97
"RUPERT, IDAHO - 2000",5645
"JEFFERSON, IOWA - 2000",4626
"MAURICE, IOWA - 2000",254
"ORANGE CITY, IOWA - 2000",5582
"MOUND CITY, KANSAS - 2000",821
"ST. GEORGE, KANSAS - 2000",434
"FAIRBURY, NEBRASKA - 2000",4262
"HOLGATE, OHIO - 2000",1194
"PAMPA, TEXAS - 2000",17887
"BOUNTIFUL, UTAH - 2000",41301
"MAUSTON, WISCONSIN - 2000",3740
"WELLS, WISCONSIN - 2000",529
"WASHBURN, WISCONSIN - 2000",2280
"EGG HARBOR, WISCONSIN - 2000",250
"FORESTVILLE, WISCONSIN - 2000",429
"PEPIN, WISCONSIN - 2000",878
"ETTRICK, WISCONSIN - 2000",521
"BOONE, NORTH CAROLINA - 2000",13472
"HEYBURN, IDAHO - 2000",2899
"MINIDOKA, IDAHO - 2000",129
"PAUL, IDAHO - 2000",998
"VINCENT, IOWA - 2000",158
"TREECE, KANSAS - 2000",149
"BERN, KANSAS - 2000",204
"WALKER, MICHIGAN - 2000",21842
"BLISSFIELD, MICHIGAN - 2000",3223
"SQUAW LAKE, MINNESOTA - 2000",99
"WILLMAR, MINNESOTA - 2000",18351
"MADISON, MISSISSIPPI - 2000",14692
"IBERIA, MISSOURI - 2000",605
"FLEMINGTON, MISSOURI - 2000",124
"NEW SQUARE, NEW YORK - 2000",4624
"SMITHFIELD, NORTH CAROLINA - 2000",11510
"ROXBORO, NORTH CAROLINA - 2000",8696
"NORTH WILKESBORO, NORTH CAROLINA - 2000",4116
"RONDA, NORTH CAROLINA - 2000",460
"RAY, NORTH DAKOTA - 2000",534
"HOOT OWL, OKLAHOMA - 2000",0
"IDABEL, OKLAHOMA - 2000",6952
"SMITH VILLAGE, OKLAHOMA - 2000",40
"SIX MILE, SOUTH CAROLINA - 2000",553
"JACKSONVILLE, TEXAS - 2000",13868
"RUSK, TEXAS - 2000",5085
"PADUCAH, TEXAS - 2000",1498
"MISSION, TEXAS - 2000",45408
"NACOGDOCHES, TEXAS - 2000",29914
"ARP, TEXAS - 2000",901
"CANTON, TEXAS - 2000",3292
"TROUTDALE, VIRGINIA - 2000",1230
"MOSES LAKE, WASHINGTON - 2000",14953
"LITTLE CHUTE, WISCONSIN - 2000",10476
"RHINEBECK, NEW YORK - 2000",3077
"CULLMAN, ALABAMA - 2000",13995
"REEDLEY, CALIFORNIA - 2000",20756
"CHATTANOOGA, TENNESSEE - 2006",168293
"BERKELEY, NEW JERSEY - 2000",39991
"BERKELEY HEIGHTS, NEW JERSEY - 2000",13407
"CORNELIUS, OREGON - 2000",9652
"SHERWOOD, OREGON - 2000",11791
"DAYTON, OREGON - 2000",2119
"BILLINGS, MONTANA - 2000",89847
"MONTEREY, CALIFORNIA - 2000",29674
"POOSPATUCK RESERVATION, NEW YORK - 2000",271
"DAVENPORT, IOWA - 2000",98359
"URBANA, ILLINOIS - 2000",36395
"FOREST ACRES, SOUTH CAROLINA - 2000",10558
"ANKENY, IOWA - 2000",27117
"SOUTHAVEN, MISSISSIPPI - 2000",28977
"ONTARIO, CALIFORNIA - 2000",158007
"DEDHAM, MASSACHUSETTS - 2000",23464
"AUSTINTOWN, OHIO - 2000",38001
